Days,Bangladesh,Afghanistan,India,Pakistan,Sri Lanka,Nepal,Bhutan,Maldives
159,55727,12604,321723,95407,1661,3013,38,1911
160,57780,13934,334822,98503,1678,3134,44,1927
161,59624,14131,347912,100802,1711,3194,48,1944
162,62108,15651,359860,104694,1748,4656,50,1954
163,66442,16041,379892,113623,1827,5320,50,1969
164,68048,17331,394227,113623,1863,6143,50,1976
165,70721,19164,409083,125094,1885,6415,51,1976
166,72625,19366,424433,131649,1903,6547,53,2049
167,76149,20103,439934,134957,1917,6811,53,2113
168,78102,20179,456831,140965,1955,7499,55,2158
169,80838,20700,476378,145311,1967,7752,55,2180
170,84544,20847,495513,149092,1979,7891,55,2227
171,86406,20882,515386,153134,1980,8011,55,2238
172,88034,21135,534618,156700,1980,8442,57,2268
173,93614,21216,553471,161917,1981,8589,76,2284
174,98317,21254,571460,170656,1981,10294,76,2290
175,103227,21454,592032,172810,1988,10328,78,2302
176,105523,22456,612768,178737,2001,11025,78,2321
177,106963,22824,635757,178737,2007,11249,78,2339
178,108725,23151,653751,198509,2012,11534,78,2340
179,110098,23273,677423,204276,2023,11637,78,2354
180,111642,23634,700087,205929,2035,11695,82,2362
181,113556,23741,724578,208030,2041,11868,83,2369
182,115397,23741,753050,210468,2048,12477,83,2397
183,117202,23924,782607,213175,2064,12684,83,2397
184,119208,24550,817209,219783,2077,12840,83,2428
185,120976,24602,849432,236596,2094,12947,85,2498
186,122090,24793,885573,237434,2103,13053,85,2498
187,123882,25180,917568,237434,2106,13128,85,2528
188,125683,25198,951166,241026,2121,13754,86,2547
189,127414,25358,988029,242436,2296,13875,86,2547
190,130292,25389,1019735,244883,2317,14021,86,2554
191,132960,25471,1055348,246131,2333,14248,88,2568
192,135136,25509,1094374,247177,2391,14399,89,2607
193,136253,25509,1145629,247177,2439,14492,89,2613
194,136839,25510,1186203,248577,2514,14603,89,2643
195,137905,25669,1230509,249397,2517,14961,90,2670
196,139860,25669,1282215,249397,2524,15026,93,2693
197,141750,25742,1328336,254286,2537,15156,93,2703
198,143824,25840,1378105,256058,2541,15389,96,2725
199,145584,25903,1427005,258099,2564,15814,96,2754
200,146604,25960,1480884,259604,2576,16313,96,2791
201,148370,25960,1535743,260248,2579,16353,96,2804
202,150437,26228,1583489,260764,2593,16493,96,2835
203,151972,26415,1639599,261246,2622,16664,97,2849
204,153089,26694,1695982,263193,2638,16728,97,2884
205,154871,26714,1751555,264060,2646,16837,100,2920
206,156623,26714,1808936,265215,2658,17077,102,3010
207,157635,27166,1862258,265624,2666,17201,102,3208
208,158950,27166,1919842,269087,2670,17335,102,3349
209,160591,27166,1977671,269087,2676,17495,103,3488
210,162825,27166,2037816,269989,2755,17580,103,3648
211,165738,27166,2096664,272128,2760,17700,103,3788
212,168991,27681,2158946,272804,2765,17964,108,3915
213,172615,28016,2222577,273579,2789,18214,110,4012
214,175567,28016,2280566,275317,2798,18350,112,4113
215,179091,28180,2338035,276829,2805,18631,112,4222
216,182875,28360,2404585,276829,2811,18806,117,4297
217,186756,28440,2458339,278425,2816,19119,118,4439
218,190183,29042,2523771,278939,2819,19504,118,4561
219,193458,29046,2583948,279561,2830,20073,119,4691
220,196836,29059,2648998,279937,2842,20242,120,4873
221,198863,29063,2713933,280340,2849,20555,135,4925
222,201907,29089,2774801,280547,2860,20822,140,5036
223,204887,29089,2839882,280682,2868,21410,142,5155
224,208177,29231,2901908,280970,2879,22178,142,5265
225,211016,29315,2970492,281925,2883,23290,144,5338
226,213980,29390,3037151,282268,2883,24207,150,5483
227,216191,29713,3107223,282553,2907,25561,150,5642
228,217852,30082,3180865,282553,2918,27127,150,5822
229,221275,30537,3250429,286016,2925,28941,150,5936
230,224573,30557,3323950,286157,2926,30677,151,6052
231,227809,30715,3398844,286506,2935,32964,153,6157
232,230804,31048,3471783,287658,2946,33882,155,6288
233,233550,31129,3542663,288206,2955,35700,155,6559
234,236024,31154,3624196,288536,2969,36672,158,6846
235,238271,31234,3702595,289429,2983,37524,159,7055
236,240643,31638,3780107,289806,2996,38697,161,7326
237,243155,32073,3859399,290261,3005,39576,161,7536
238,245594,32098,3942360,290760,3016,40638,175,7729
239,247969,32503,4025079,291169,3021,41706,175,7903
240,250412,32505,4112551,291683,3043,42949,175,8033
241,252335,32576,4208431,292044,3060,43820,182,8077
242,254386,32576,4303043,292303,3070,45267,190,8188
243,256565,32576,4396399,292869,3088,46233,192,8261
244,258717,32576,4497867,293159,3100,47238,194,8390
245,260790,32576,4587613,293916,3118,48061,195,8438
246,262953,32610,4674987,294392,3129,49954,196,8530
247,265092,32619,4756164,294740,3142,50411,198,8597
248,267024,32619,4849584,295333,3158,51866,199,8673
249,268777,32635,4941627,295613,3186,53013,205,8754
250,270491,32642,5016520,296022,3208,53898,210,8847
251,272073,32642,5101397,296340,3210,54640,210,8950
252,273698,32746,5187825,296881,3230,55371,219,9037
253,275487,32789,5273201,297497,3230,56428,222,9108
254,277078,32842,5352078,298055,3233,57389,225,9187
255,278627,32842,5427706,298593,3245,60696,229,9213
256,280069,32842,5509966,298968,3254,62740,230,9310
257,281656,32852,5586703,298968,3258,64069,237,9364
258,283182,32879,5662490,300616,3259,65202,248,9427
259,284833,32977,5744693,301288,3266,67542,250,9466
260,286631,33045,5827704,302375,3274,68668,252,9547
261,288316,33058,5906069,302708,3278,71343,255,9589
262,289912,33058,5988822,303062,3296,73023,282,9654
263,291365,33064,6077976,303458,3306,74252,287,9683
264,292860,33114,6149535,304185,3307,75804,288,9742
265,294391,33118,6227295,304609,3317,77277,291,9783
266,295873,33308,6301927,305080,3328,78780,293,9833
267,297449,33354,6383441,305395,3357,80954,294,9880
268,299229,33447,6453779,305835,3380,84518,296,9931
269,300738,33516,6524595,306640,3385,88040,298,9995
270,302298,33561,6597209,307069,3395,89840,299,10097
271,303972,33614,6663608,307409,3403,92166,301,10164
272,305599,33760,6733328,308010,3440,94501,301,10201
273,307141,33790,6795103,308674,3457,96609,302,10234
